-74.179246,40.834913,"SERVICE PLAZA NB GSP MM153","Gas"
-74.180163,40.841435,"SERVICE PLAZA SB GSP MM153","RR, VM, HF, FOOD, GAS"
-74.188096,41.148467,"SERVICE PLAZA NB I-87 MP33","RR, PT, VM, Pets, HF, Gas, Food"
-74.188429,41.156091,"SERVICE PLAZA SB I-87 MP33","RR, PT, VM, Pets, HF, Gas, Food"
-74.214399,39.876641,"SERVICE PLAZA-LEFT EXIT SB GSP MM76","RR, VM, HF, FOOD, GAS"
-74.217011,39.868431,"SERVICE PLAZA-LEFT EXIT NB GSP MM76","RR, VM, HF, FOOD, GAS"
-74.253440,40.699163,"SERVICE PLAZA-FOLLOW SIGNS SB GSP MM142","RR, VM, HF, FOOD, GAS"
-74.254073,40.698414,"SERVICE PLAZA NB GSP MM142","RR, VM, HF, FOOD, GAS"
-74.260916,40.562231,"SERVICE PLAZA SB NJ TPK MM93","RR, PT, VM, HF, Gas, Food"
-74.267653,40.554821,"SERVICE PLAZA NB NJ TPK MM93","RR, PT, VM, HF, Gas, Food"
-74.279921,40.461091,"SERVICE PLAZA NB LOCAL GSP MM123","RR, VM, HF, FOOD, GAS"
-74.281321,40.461761,"SERVICE PLAZA NB EXPRESS GSP MM123","RR, VM, HF, FOOD, GAS"
-74.288351,40.464501,"SERVICE PLAZA-LEFT EXIT SB LOCAL GSP MM123","RR, VM, HF, FOOD, GAS"
-74.292821,40.468495,"SERVICE PLAZA-LEFT EXIT SB EXPRESS GSP MM123","RR, VM, HF, FOOD, GAS"
-74.293801,41.479751,"REST AREA WB I-84 MM5","RR, PT, Pets, HF"
-74.395622,42.943623,"TRUCK TURNOUT WB I-90 MM184","NO FACILITIES"
-74.396485,42.942938,"TRUCK TURNOUT EB I-90 MM184","NO FACILITIES"
-74.399169,41.423306,"REST AREA EB I-84 MM3","RR, PT, Pets, HF"
-74.446284,40.414891,"SERVICE PLAZA NB NJ TPK MM78.7","RR, PT, VM, HF, Gas, Food"
-74.485669,40.323878,"SERVICE PLAZA SB NJ TPK MM71.7","RR, PT, VM, HF, Gas, Food"
-74.489261,39.380275,"WELCOME CENTER-LEFT EXIT EB (9AM-5PM) ACE MM3.5","RR, HF, Gas, Mini-mart"
-74.496524,39.382679,"WELCOME CENTER-LEFT EXIT WB (9AM-5PM) ACE MM3.5","RR, HF, Gas, Mini-mart"
-74.516817,40.760836,"TRUCKS ONLY-REST AREA NB I-287 MM32","RR, HF"
-74.528447,39.474369,"SERVICE PLAZA-LEFT EXIT SB GSP MM41","RR, VM, Pets, HF, Food, Gas"
-74.530076,39.466248,"SERVICE PLAZA-LEFT EXIT NB GSP MM41","RR, VM, Pets, HF, Food, Gas"
-74.625941,40.179459,"SERVICE PLAZA SB NJ TPK MM58.7","RR, PT, VM, HF, Gas, Food"
-74.633576,40.174772,"SERVICE PLAZA NB NJ TPK MM58.7","RR, PT, VM, HF, Gas, Food"
-74.637172,41.374002,"TURNOUT-PARKING WB I-84","PT, NO FACILITIES"
-74.642725,41.371121,"TURNOUT-PARKING EB I-84","PT, NO FACILITIES"
-74.704151,41.359491,"REST AREA-FOLLOW SIGNS WB I-84","RR, PT, VM, Pets, HF"
-74.718017,40.153063,"SCENIC VISTA NB I-295","NO FACILITIES"
-74.718339,40.158097,"SCENIC VISTA SB I-295","NO FACILITIES"
-74.720908,41.355531,"REST AREA-FOLLOW SIGNS EB I-84","RR, PT, VM, Pets, HF"
-74.721774,39.183953,"SERVICE PLAZA-LEFT EXIT SB GSP MM18","RR, VM, HF, FOOD, GAS"
-74.724475,39.178245,"SERVICE PLAZA-LEFT EXIT NB GSP MM18","RR, VM, HF, FOOD, GAS"
-74.731765,39.549815,"SERVICE PLAZA-LEFT EXIT WB ACE MM21.5","RR, ,VM, Pets, HF, Gas, Food"
-74.738123,39.550715,"SERVICE PLAZA-LEFT EXIT EB ACE MM21.5","RR, ,VM, Pets, HF, Gas, Food"
-74.789239,40.925583,"TURNOUT-PARKING WB I-80 MM21","PT, NO FACILITIES"
-74.791633,40.924027,"TURNOUT-PARKING EB I-80 MM18","PT, NO FACILITIES"
-74.799514,43.015552,"SERVICE PLAZA WB I-90/NY T'way MM210","RR, PT, VM, Pets, HF, Gas, Food"
-74.806885,43.016846,"SERVICE PLAZA EB I-90/NY T'way MM210","RR, PT, VM, Pets, HF, Gas, Food"
-74.862573,40.252902,"REST AREA SB I-95 MM50","RR, PT, VM, Pets, HF"
-74.866617,41.928182,"REST AREA EB I-86/US 17 MM 313","RR, PT, VM, Pets, HF"
-74.892853,39.979511,"SERVICE PLAZA NB NJ TPK MM39.4","RR, PT, VM, HF, Gas, Food"
-75.000196,39.886831,"SERVICE PLAZA SB NJ TPK MM30.2","RR, PT, VM, HF, Gas, Food"
-75.047875,40.925035,"WELCOME CENTER EB I-80 MM7","RR, PT, VM, Pets, HF"
-75.057415,40.660199,"TURNOUT WB I-78 MM8","NO FACILITIES except Phones"
-75.062871,40.658891,"TURNOUT EB I-78 MM8","NO FACILITIES except Phones"
-75.101299,43.074759,"SERVICE PLAZA WB I-90/NY T'way MM227","RR, PT, VM, Pets, HF, Gas, Food"
-75.121967,40.971459,"REST AREA WB I-80 MM1","RR, PT, Pets"
-75.126253,40.970813,"REST AREA EB I-80 MM1","RR, PT, Pets"
-75.159465,41.996186,"REST AREA WB I-86/US 17 MM295","RR, PT, VM, Pets, HF"
-75.194072,40.676782,"REST AREA WB I-78 MM76","RR, PT, VM, Pets, HF"
-75.216718,41.359531,"REST AREA WB I-84 MM26","RR, PT, VM, Pets, HF"
-75.225363,41.355492,"REST AREA EB I-84 MM26","RR, PT, VM, Pets, HF"
-75.294533,42.325001,"REST AREA EB I-88 MM39","RR, PT, VM, Pets, HF"
-75.362813,41.064153,"REST AREA EB I-80 MM295","RR, PT, VM, Pets, HF"
-75.393138,39.697928,"SERVICE PLAZA SB NJ TPK MM5.4","RR, PT, VM, HF, Gas, Food"
-75.399451,39.695744,"SERVICE PLAZA NB NJ TPK MM5.4","RR, PT, VM, HF, Gas, Food"
-75.417368,43.125913,"SERVICE PLAZA EB I-90/NY T'way MM244","RR, PT, VM, Pets, HF, Gas, Food"
-75.441091,39.823093,"WELCOME CENTER NB I-95 MM0.5","RR, PT, VM, Pets, HF"
-75.443087,40.082796,"SERVICE PLAZA EB I-76 MM325","RR, PT, VM, RV Dump, HF, Gas, Food"
-75.474046,39.68899,"WELCOME CENTER NB I-295","RR, PT, VM, RV, Pets, HF"
-75.533795,37.990328,"WELCOME CENTER-LEFT EXIT NB US-13 MM133","RR, PT, Pets, HF"
-75.534629,43.129707,"TRUCK TURNOUT EB I-90 MM250","NO FACILITIES"
-75.534924,37.991557,"WELCOME CENTER SB US-13 MM133","RR, PT, Pets, HF"
-75.542876,38.003065,"WELCOME CENTER NB US-13 MM0.5","RR, PT, Pets, HF"
-75.554641,40.572734,"SERVICE PLAZA NB I-476 MM56","RR, PT, VM, RV Dump, HF, Gas, Food"
-75.556107,42.05569,"TURNOUT EB I-86 MM265","NO FACILITIES, PT"
-75.557045,40.576452,"SERVICE PLAZA SB I-476 MM56","RR, PT, VM, RV Dump, HF, Gas, Food"
-75.626622,39.331232,"REST AREA_FOLLOW SIGNS NB US-1 MM76","RR, PT, Pets, HF"
-75.628903,40.971404,"SERVICE PLAZA SB I-476 MM86","RR, PT, VM, HF, Gas, Food"
-75.629671,40.967573,"SERVICE PLAZA-FOLLOW SIGNS NB I-476 MM86","RR, PT, VM, HF, Gas, Food"
-75.631885,39.333617,"REST AREA-FOLLOW SIGNS SB US-1 MM76","RR, PT, Pets, HF"
-75.642212,43.117083,"TRUCK TURNOUT WB I-90 MM256","NO FACILITIES"
-75.648584,41.599513,"REST AREA NB I-81 MM203","RR, PT, VM, Pets, HF"
-75.666665,35.887549,"REST AREA US-64 EB/WB","RR, PT, Pets, HF"
-75.684089,41.676589,"WELCOME CENTER SB I-81 MM208","RR, PT, VM, Pets, HF"
-75.686365,39.666384,"SERVICE PLAZA-LEFT EXIT SB I-95 MM3","RR, PT, VM, HF, Gas, Food"
-75.696575,39.658491,"SERVICE PLAZA-LEFT EXIT NB I-95 MM2","RR, PT, VM, HF, Gas, Food"
-75.749753,41.988717,"WELCOME CENTER SB I-81 MM232","RR, PT, HF"
-75.77299,44.351278,"TURNOUT Hwy 37","NO FACILITIES"
-75.774188,40.120438,"SERVICE PLAZA WB I-76 MM305","RR, PT, VM, HF, Gas, Food"
-75.775502,42.017498,"WELCOME CENTER NB I-81 MM 2","RR, PT, VM, Pets, HF"
-75.827663,41.055387,"REST AREA EB I-80 MM270","RR, PT, VM, Pets, HF"
-75.838471,43.095127,"SERVICE PLAZA WB I-90/NY T'way MM266","RR, PT, VM, Pets, HF, Gas, Food"
